AID,count
2401,4
2402,0
2403,9
2404,11
2405,0
2406,0
2407,0
2408,0
2409,52
2410,110
2411,25
2412,188
2413,548
2414,431
2415,46
2416,0
2417,1
2418,6
2419,3
2420,56
2421,133
2422,6
2423,2
2424,370
2425,29
2426,46
2427,1113
2428,2
2429,2
2430,0
2431,18
2432,33
2433,0
2434,110
2435,7
2436,0
2437,0
2438,20
2439,0
2440,0
2441,2183
2442,11
2443,12
2444,90
2445,165
2446,928
2447,63
2448,491
2449,31
2450,34
2451,32
2452,1
2453,110
2454,8
2455,4
2456,0
2457,0
2458,0
2459,4
2460,0
2461,0
2462,49
2463,0
2464,84
2465,0
2466,0
2467,0
2468,152
2469,6
2470,0
2471,0
2472,0
2473,0
2474,0
2475,0
2476,1
2477,0
2478,0
2479,0
2480,6
2481,49
2482,51
2483,0
2484,0
2485,123
2486,20
2487,0
2488,3
2489,17
2490,0
2491,20
2492,54
2493,0
2494,0
2495,0
2496,1
2497,0
2498,0
2499,0
2500,4
2501,0
2502,84
2503,0
2504,0
2505,0
2506,11
2507,19
2508,13
2509,1
2510,19
2511,0
2512,21
2513,0
2514,0
2515,0
2516,0
2517,34
2518,5
2519,4
2520,0
2521,0
2522,1
2523,0
2524,0
2525,0
2526,0
2527,0
2528,0
2529,0
2530,0
2531,0
2532,0
2533,0
2534,8
2535,34
2536,0
2537,8
2538,0
2539,1
2540,7
2541,0
2542,1
2543,0
2544,3
2545,12
2546,136
2547,0
2548,0
2549,13
2550,0
2551,0
2552,1562
2553,189
2554,9
2555,155
2556,131
2557,260
2558,19
2559,36
2560,196
2561,10
2562,4
2563,63
2564,222
2565,8
2566,15
2567,115
2568,5
2569,85
2570,97
2571,286
2572,123
2573,51
2574,41
2575,6
2576,0
2577,95
2578,13
2579,6
2580,0
2581,28
2582,28
2583,234
2584,4
2585,8
2586,6
2587,6
2588,16
2589,1
2590,9
2591,13
2592,6
2593,45
2594,0
2595,2
2596,0
2597,6
2598,17
2599,55
2600,26
2601,4
2602,6
2603,16
2604,200
2605,2
2606,2
2607,54
2608,13
2609,0
2610,0
2611,353
2612,2
2613,5
2614,31
2615,0
2616,0
2617,1
2618,18
2619,0
2620,5
2621,107
2622,0
2623,0
2624,37
2625,3
2626,0
2627,11
2628,1
2629,4
2630,0
2631,0
2632,0
2633,5
2634,0
2635,8
2636,11
2637,0
2638,0
2639,0
2640,0
2641,50
2642,113
2643,27
2644,193
2645,573
2646,460
2647,48
2648,0
2649,1
2650,5
2651,3
2652,56
2653,145
2654,4
2655,1
2656,398
2657,35
2658,55
2659,1280
2660,3
2661,3
2662,0
2663,21
2664,34
2665,0
2666,119
2667,7
2668,0
2669,0
2670,19
2671,0
2672,0
2673,2275
2674,14
2675,14
2676,101
2677,176
2678,965
2679,81
2680,513
2681,29
2682,35
2683,29
2684,2
2685,115
2686,8
2687,3
2688,0
2689,0
2690,1
2691,6
2692,0
2693,0
2694,52
2695,0
2696,92
2697,0
2698,0
2699,0
2700,164
2701,5
2702,0
2703,0
2704,0
2705,0
2706,0
2707,0
2708,3
2709,0
2710,0
2711,0
2712,7
2713,52
2714,56
2715,0
2716,0
2717,155
2718,20
2719,0
2720,4
2721,20
2722,0
2723,21
2724,57
2725,0
2726,0
2727,0
2728,1
2729,0
2730,0
2731,0
2732,4
2733,0
2734,85
2735,2
2736,0
2737,0
2738,9
2739,18
2740,15
2741,1
2742,27
2743,0
2744,25
2745,0
2746,0
2747,0
2748,0
2749,34
2750,6
2751,4
2752,0
2753,0
2754,2
2755,0
2756,0
2757,0
2758,2
2759,1
2760,0
2761,0
2762,0
2763,0
2764,0
2765,0
2766,8
2767,36
2768,0
2769,9
2770,0
2771,1
2772,8
2773,0
2774,1
2775,0
2776,4
2777,11
2778,150
2779,0
2780,0
2781,14
2782,0
2783,0
2784,1660
2785,204
2786,15
2787,165
2788,153
2789,285
2790,21
2791,35
2792,209
2793,12
2794,4
2795,60
2796,226
2797,8
2798,24
2799,124
2800,4
2801,94
2802,113
2803,304
2804,125
2805,63
2806,44
2807,8
2808,0
2809,99
2810,13
2811,13
2812,1
2813,28
2814,29
2815,245
2816,4
2817,12
2818,6
2819,7
2820,18
2821,2
2822,7
2823,24
2824,7
2825,46
2826,0
2827,5
2828,0
2829,6
2830,20
2831,56
2832,28
2833,5
2834,8
2835,20
2836,221
2837,2
2838,2
2839,55
2840,15
2841,0
2842,0
