pid,timestamp,score_mean,photo_count
4,8:00:00,4.363996118,28
12,8:00:00,4.91285313,30
15,8:00:00,4.65560245,2
18,8:00:00,4.741080448,124
19,8:00:00,4.950536767,6
26,8:00:00,4.9776438,10
27,8:00:00,4.771886037,62
31,8:00:00,4.7077208,3
32,8:00:00,4.696745656,9
34,8:00:00,4.914193039,18
35,8:00:00,4.904503795,22
40,8:00:00,4.62289155,8
43,8:00:00,4.99279395,8
47,8:00:00,4.70922778,5
48,8:00:00,4.628567233,3
51,8:00:00,4.4981141,3
52,8:00:00,5.032228057,23
56,8:00:00,4.620498567,3
59,8:00:00,4.908638,18
60,8:00:00,5.1104312,2
63,8:00:00,4.4437476,4
66,8:00:00,4.562902833,12
67,8:00:00,4.583991744,16
70,8:00:00,5.0269483,5
75,8:00:00,4.71301922,5
83,8:00:00,4.488392547,17
94,8:00:00,5.214466363,8
119,8:00:00,4.5548615,4
133,8:00:00,5.220706517,6
141,8:00:00,4.50991065,2
145,8:00:00,4.763577425,4
150,8:00:00,4.731097587,15
151,8:00:00,4.767070693,76
155,8:00:00,4.929553793,86
156,8:00:00,4.930647683,6
158,8:00:00,4.5230623,2
159,8:00:00,4.6721734,4
170,8:00:00,4.354556,2
175,8:00:00,4.720671217,6
186,8:00:00,4.785944562,8
189,8:00:00,4.63174706,5
200,8:00:00,5.031596683,6
210,8:00:00,5.2769762,4
213,8:00:00,4.47427025,4
219,8:00:00,4.522102082,11
222,8:00:00,4.710748067,3
227,8:00:00,4.820490767,3
228,8:00:00,5.0294933,2
232,8:00:00,4.534816483,12
234,8:00:00,4.72389075,2
237,8:00:00,4.435313,2
244,8:00:00,5.009037,4
254,8:00:00,4.59431985,2
257,8:00:00,4.34471108,5
260,8:00:00,5.189154767,3
265,8:00:00,4.529871767,3
266,8:00:00,4.580780931,16
267,8:00:00,4.867034556,25
268,8:00:00,4.490577058,103
272,8:00:00,4.636903536,14
274,8:00:00,4.89790334,5
277,8:00:00,4.2129267,2
278,8:00:00,4.53863575,2
280,8:00:00,4.8285693,11
281,8:00:00,4.73006915,2
282,8:00:00,5.45139435,2
285,8:00:00,5.15959675,2
293,8:00:00,4.5204137,9
297,8:00:00,4.784740067,3
299,8:00:00,4.8731193,7
301,8:00:00,4.3461731,2
307,8:00:00,4.986327,2
313,8:00:00,4.854049633,3
315,8:00:00,4.9197781,2
317,8:00:00,4.757580844,16
319,8:00:00,4.7834447,2
320,8:00:00,4.987197875,4
321,8:00:00,4.33067784,5
322,8:00:00,4.884355857,21
328,8:00:00,4.612350171,7
329,8:00:00,4.477175933,9
330,8:00:00,4.66212895,2
335,8:00:00,4.931221055,11
344,8:00:00,5.0887828,4
353,8:00:00,4.90372135,6
354,8:00:00,4.853077583,6
357,8:00:00,5.339348675,8
359,8:00:00,4.953131007,15
361,8:00:00,4.8124343,2
362,8:00:00,5.0618696,2
363,8:00:00,5.08971232,5
364,8:00:00,5.0298834,3
366,8:00:00,5.12894275,2
367,8:00:00,5.207310904,48
368,8:00:00,4.872037445,22
369,8:00:00,4.971156783,6
375,8:00:00,4.786186185,26
376,8:00:00,4.333879,2
377,8:00:00,5.07802422,5
378,8:00:00,4.751881105,22
385,8:00:00,4.749623825,4
396,8:00:00,4.680542867,3
404,8:00:00,4.294611933,3
405,8:00:00,4.956002567,3
406,8:00:00,5.059262667,6
407,8:00:00,5.105431,2
409,8:00:00,4.91386128,5
420,8:00:00,4.68363085,4
421,8:00:00,4.9632239,2
425,8:00:00,4.5087274,4
427,8:00:00,4.8250302,2
429,8:00:00,4.643652758,19
430,8:00:00,5.3106966,3
432,8:00:00,4.855235057,30
434,8:00:00,4.749881056,9
435,8:00:00,4.763066172,18
436,8:00:00,4.0677935,2
497,8:00:00,4.804169744,59
500,8:00:00,4.907711,2
506,8:00:00,4.73084252,5
507,8:00:00,4.801374067,6
509,8:00:00,4.75066735,2
513,8:00:00,4.60641722,15
514,8:00:00,4.415757,3
